metabolite,name,molecular_weight,C_number,N_number,hmdb,inchi,kegg.compound,pubchem.compound,reaction
pro_L[e],L-proline,115.13046,5,1,HMDB00162,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",C00148,145742,EX_pro_L(e)
q8[e],Ubiquinone-8,727.10946,49,0,,,,,EX_q8(e)
sT_antigen[e],sialyl-T antigen,,25,2,,,,,EX_sT_antigen(e)
sT_antigen_rl[e],released sialyl-Tn antigen,673.59504,25,2,,,,,EX_sT_antigen_rl(e)
sTn_antigen[e],sialyl-Tn antigen,,19,2,,,,,EX_sTn_antigen(e)
salcn[e],Salicin,286.27781999999996,13,0,,,C01451,,EX_salcn(e)
sbt_D[e],D-glucitol,182.17176,6,0,HMDB00247,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1",C00794,5780,EX_sbt_D(e)
ser_L[e],L-serine,105.09258,3,1,HMDB00187,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",C00065,5951,EX_ser_L(e)
so4[e],sulfate,96.0626,0,0,HMDB01448,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",C00059,1118,EX_so4(e)
spmd[e],Spermidine,148.26968,7,3,HMDB01257,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2/p+3",C00315,1102,EX_spmd(e)
succ[e],Succinate,116.07216,4,0,HMDB00254,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2",C00042,1110,EX_succ(e)
sucr[e],Sucrose,342.29648000000003,12,0,HMDB00258,,C00089,5988,EX_sucr(e)
thm[e],Thiamin,265.35458,12,4,HMDB00235,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1",C00378,1130,EX_thm(e)
thr_L[e],L-threonine,119.11916,4,1,HMDB00167,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",C00188,6288,EX_thr_L(e)
thymd[e],Thymidine,242.22856000000002,10,2,HMDB00273,"InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1",C00214,5789,EX_thymd(e)
tre[e],Trehalose,342.29648000000003,12,0,HMDB00975,,C01083,7427,EX_tre(e)
ttdca[e],tetradecanoate (n-C14:0),227.36298,14,0,HMDB00806,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)/p-1",C06424,11005,EX_ttdca(e)
tyr_L[e],L-tyrosine,181.18854,9,1,HMDB00158,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",C00082,6057,EX_tyr_L(e)
ura[e],uracil,112.08676,4,2,HMDB00300,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",C00106,1174,EX_ura(e)
uri[e],Uridine,244.20138,9,2,HMDB00296,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1",C00299,6029,EX_uri(e)
xyl_D[e],aldehydo-D-xylose,150.1299,5,0,,"InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4+,5+/m0/s1",,644160,EX_xyl_D(e)
zn2[e],Zinc,65.409,0,0,,,,,EX_zn2(e)
C02528[e],chenodeoxycholate,391.56406,24,0,HMDB00518,,C02528,10133,EX_C02528(e)
alltn[e],Allantoin,158.11544,4,4,HMDB00462,"InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)",C01551,204,EX_alltn(e)
arab_L[e],L-arabinose,150.1299,5,0,HMDB00646,,C00259,,EX_arab_L(e)
arg_L[e],L-argininium(1+),175.2089,6,4,HMDB00517,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/p+1/t4-/m0/s1",C00062,6322,EX_arg_L(e)
arsenb[e],Arsenobetaine,179.06918,5,0,,,,,EX_arsenb(e)
but[e],butyrate,87.09718,4,0,HMDB00039,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/p-1",C00246,264,EX_but(e)
cellb[e],cellobiose,342.29648000000003,12,0,,,,,EX_cellb(e)
cholate[e],Cholate,407.56346,24,0,HMDB00619,,C00695,221493,EX_cholate(e)
dgchol[e],glycochenodeoxycholate,449.62332,26,1,HMDB00637,,C05466,,EX_dgchol(e)
gchola[e],glycocholate,465.62271999999996,26,1,HMDB00138,,C01921,10140,EX_gchola(e)
glyb[e],glycine betaine,117.14634,5,1,HMDB00043,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",C00719,247,EX_glyb(e)
hxan[e],Hypoxanthine,136.11146,5,4,HMDB00157,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",C00262,790,EX_hxan(e)
ile_L[e],L-isoleucine,131.17292,6,1,HMDB00172,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",C00407,6306,EX_ile_L(e)
lac_L[e],(S)-lactate,89.07,3,0,HMDB00190,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/m0/s1",C00186,107689,EX_lac_L(e)
lcts[e],Lactose,342.29648000000003,12,0,HMDB00186,,C00243,440995,EX_lcts(e)
met_D[e],D-Methionine,148.2034,5,1,,,,,EX_met_D(e)
metsox_R_L[e],L-methionine-R-sulfoxide,165.21074,5,1,,,,,EX_metsox_R_L(e)
metsox_S_L[e],L-Methionine Sulfoxide,165.21074,5,1,,,,,EX_metsox_S_L(e)
pnto_R[e],(R)-Pantothenate,218.22704,9,1,HMDB00210,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/p-1",C00864,988,EX_pnto_R(e)
ptrc[e],Putrescine,90.16736,4,2,HMDB01414,InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2/p+2,C00134,1045,EX_ptrc(e)
pydx[e],Pyridoxal,167.16196,8,1,HMDB01545,"InChI=1S/C8H9NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,4,10,12H,3H2,1H3",C00250,1050,EX_pydx(e)
pyr[e],pyruvate,87.05412,3,0,HMDB00243,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1",C00022,1060,EX_pyr(e)
ribflv[e],Riboflavin,376.3639,17,4,HMDB00244,,C00255,493570,EX_ribflv(e)
taur[e],Taurine,125.14688,2,1,HMDB00251,"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)",C00245,1123,EX_taur(e)
tchola[e],taurocholate,515.703,26,1,HMDB00036,,,440567,EX_tchola(e)
tdchola[e],taurochenodeoxycholate,499.70359999999994,26,1,HMDB00951,,C05465,387316,EX_tdchola(e)
trp_L[e],L-tryptophan,204.22518000000002,11,2,HMDB00929,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",C00078,6305,EX_trp_L(e)
urea[e],Urea,60.055260000000004,1,2,HMDB00294,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",C00086,1176,EX_urea(e)
val_L[e],L-valine,117.14634,5,1,HMDB00883,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",C00183,6287,EX_val_L(e)
12dhchol[e],12-Dehydrocholate,405.54758,24,0,,,,,EX_12dhchol(e)
Lcyst[e],L-cysteate(1-),168.14844,3,1,HMDB02757,"InChI=1S/C3H7NO5S/c4-2(3(5)6)1-10(7,8)9/h2H,1,4H2,(H,5,6)(H,7,8,9)/p-1/t2-/m0/s1",C57006,72886,EX_Lcyst(e)
Lcystin[e],L-cystine,240.30048,6,2,HMDB00192,"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1",C00491,,EX_Lcystin(e)
adocbl[e],Adenosylcobalamin,1579.581761,72,18,HMDB02086,,C00194,,EX_adocbl(e)
aso3[e],arsenite,122.9198,0,0,,,,,EX_aso3(e)
aso4[e],arsenate,138.9192,0,0,,,,,EX_aso4(e)
butso3[e],butanesulfonate,137.17746,4,0,,,,,EX_butso3(e)
cbl1[e],Cob(I)alamin,1329.347781,62,13,HMDB03429,,C00853,,EX_cbl1(e)
cbl2[e],Cob(II)alamin,1333.379541,62,13,HMDB06316,,C00541,,EX_cbl2(e)
cro4[e],chromate,115.99369999999999,0,0,,,,,EX_cro4(e)
ethso3[e],ethanesulfonate,109.12429999999999,2,0,,,,,EX_ethso3(e)
fum[e],Fumarate,114.05628,4,0,HMDB00134,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1+",C00122,444972,EX_fum(e)
gthox[e],Oxidized glutathione,610.6152,20,6,HMDB03337,,C00127,65359,EX_gthox(e)
gthrd[e],Reduced glutathione,306.31554,10,3,HMDB00125,,C00051,124886,EX_gthrd(e)
hexs[e],hexanesulfonate,165.23062,6,0,,,,,EX_hexs(e)
isetac[e],Isethionic acid,125.1237,2,0,,,,,EX_isetac(e)
kesto[e],"Kestose (2 fru, 1 glc inulin-type fructo-oligosaccharide)",504.43708,18,0,,,,,EX_kesto(e)
kestopt[e],"Kestopentaose (4 fru, 1 glc inulin-type fructo-oligosaccharide)",828.71828,30,0,,,,,EX_kestopt(e)
kestottr[e],"Kestotetraose (3 fru, 1 glc inulin-type fructo-oligosaccharide)",666.57768,24,0,,,,,EX_kestottr(e)
malthx[e],Maltohexaose,990.85888,36,0,HMDB12253,,C01936,439606,EX_malthx(e)
malttr[e],maltotriose,504.43708,18,0,HMDB01262,,C01835,439586,EX_malttr(e)
mops[e],3-(n-Morpholino)Propanesulfonic Acid,208.25536,7,1,,,,,EX_mops(e)
mso3[e],methanesulfonate,95.09772,1,0,,,,,EX_mso3(e)
no3[e],Nitrate,62.0049,0,1,,,,,EX_no3(e)
rbflvrd[e],Reduced riboflavin,378.37978,17,4,,,,,EX_rbflvrd(e)
sulfac[e],sulfoacetate,138.09928,2,0,,,,,EX_sulfac(e)
12dgr180[e],"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",625.01774,39,0,,,,,EX_12dgr180(e)
3mop[e],3-methyl-2-oxopentanoate,129.13386,6,0,HMDB00491,"InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)/p-1",C03465,47,EX_3mop(e)
4hbz[e],4-hydroxybenzoate,137.1128,7,0,HMDB00500,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)/p-1",C00156,,EX_4hbz(e)
acgalglcur[e],Dimer GalNAc-GlcA,396.32398,14,1,,,,,EX_acgalglcur(e)
acgalidour[e],Dimer GalNAc-IdoA,396.32398,14,1,,,,,EX_acgalidour(e)
acgalidour2s[e],Dimer GalNAc-IdoA2S,475.37924,14,1,,,,,EX_acgalidour2s(e)
cspg_a[e],chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan,,45,2,,,,,EX_cspg_a(e)
cspg_a_degr[e],Dimer GalNAc4S-GlcA,475.37924,14,1,,,,,EX_cspg_a_degr(e)
cspg_ab_rest[e],"Not degradable product CSABCPASE_A/B, Gal4S-Gal-Xyl-L-Ser-protein",,17,0,,,,,EX_cspg_ab_rest(e)
cspg_b[e],chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan,,45,2,,,,,EX_cspg_b(e)
cspg_b_degr[e],Dimer GalNAc4S-IdoA2S,554.4345,14,1,,,,,EX_cspg_b_degr(e)
cspg_c[e],chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan,,45,2,,,,,EX_cspg_c(e)
cspg_c_degr[e],Dimer GalNAc6S-GlcA,475.37924,14,1,,,,,EX_cspg_c_degr(e)
cspg_c_rest[e],"Not degradable product CSABCPASE_C, Gal6S-Gal-Xyl-L-Ser-protein",,17,0,,,,,EX_cspg_c_rest(e)
dcyt[e],Deoxycytidine,227.21722,9,3,HMDB00014,"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1",C00881,13711,EX_dcyt(e)
fol[e],Folate,440.38952,19,7,HMDB00121,,C00504,6037,EX_fol(e)
galur[e],D-Galacturonate,193.13146,6,0,,,,,EX_galur(e)
gcald[e],glycolaldehyde,60.05196,2,0,HMDB03344,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",C00266,756,EX_gcald(e)
glcur[e],D-glucuronate,193.13146,6,0,HMDB00127,,C00191,444791,EX_glcur(e)
glyc3p[e],Glycerol 3-phosphate,170.057841,3,0,HMDB00126,"InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/p-2/t3-/m1/s1",C00093,439162,EX_glyc3p(e)
gua[e],Guanine,151.1261,5,5,HMDB00132,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",C00242,764,EX_gua(e)
idour[e],L-iduronate,193.13146,6,0,HMDB02704,"InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h1-5,8-11H,(H,12,13)/p-1/t2-,3+,4-,5+/m0/s1",C06472,18845,EX_idour(e)
inulin[e],"Chicory inulin, 30 monosaccharide units (29 fru, 1 glc) on average",4882.23328,180,0,,,C03323,,EX_inulin(e)
mantr[e],"mannotriose (beta-1,4)",504.43708,18,0,,,,,EX_mantr(e)
melib[e],Melibiose,342.29648000000003,12,0,,,,,EX_melib(e)
meoh[e],methanol,32.04186,1,0,HMDB01875,"InChI=1S/CH4O/c1-2/h2H,1H3",C00132,887,EX_meoh(e)
mqn7[e],Menaquinone 7,648.9991600000001,46,0,,,C00828,4086,EX_mqn7(e)
pect[e],pectins,74542.46496,2535,0,,,,,EX_pect(e)
pydam[e],Pyridoxamine,169.20102,8,2,HMDB01431,"InChI=1S/C8H12N2O2/c1-5-8(12)7(2-9)6(4-11)3-10-5/h3,11-12H,2,4,9H2,1H3/p+1",C00534,1052,EX_pydam(e)
pydxn[e],Pyridoxine,169.17784,8,1,HMDB00239,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",C00314,1054,EX_pydxn(e)
sheme[e],Siroheme,908.59744,42,4,,,,,EX_sheme(e)
strch1[e],"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",1801.56188,66,0,,,,,EX_strch1(e)
strch2[e],"starch, structure 2 (1,6-{2[1,4-Glc], [1,4-Glc]})",504.43708,18,0,,,,,EX_strch2(e)
stys[e],Stachyose,666.57768,24,0,,,,,EX_stys(e)
tym[e],tyraminium,138.18698,8,1,HMDB00306,"InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2/p+1",C00483,5610,EX_tym(e)
dextrin[e],Dextrin,990.85888,36,0,,,C00721,,EX_dextrin(e)
lctnb[e],Lacto-N-biose,383.3484,14,1,,,C06372,,EX_lctnb(e)
amp[e],AMP,345.20534100000003,10,5,HMDB00045,,C00020,6083,EX_amp(e)
glctnb[e],Galacto-N-biose,383.3484,14,1,,,,,EX_glctnb(e)
arabinogal[e],"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000",104298.01804,3862,0,,,C00569,,EX_arabinogal(e)
arabttr[e],Arabinotriose,414.35914,15,0,,,,,EX_arabttr(e)
ctbt[e],crotonobetaine,143.18362,7,1,,,,,EX_ctbt(e)
din[e],Deoxyinosine,252.22668,10,4,HMDB00071,"InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)/t5-,6+,7+/m0/s1",C05512,65058,EX_din(e)
duri[e],Deoxyuridine,228.20198,9,2,HMDB00012,"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1",C00526,13712,EX_duri(e)
gbbtn[e],gamma-butyrobetaine,145.1995,7,1,,,,,EX_gbbtn(e)
gsn[e],Guanosine,283.24072,10,5,HMDB00133,,C00387,6802,EX_gsn(e)
ha[e],hyaluronan,756.6174,28,2,,,,,EX_ha(e)
ha_deg1[e],hyaluronan degradation product 1,581.50122,22,2,,,,,EX_ha_deg1(e)
ha_pre1[e],"hyaluronan biosynthesis, precursor 1",378.3087,14,1,,,C04794,440484,EX_ha_pre1(e)
homogal[e],"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>",19333.3356,660,0,,,,,EX_homogal(e)
isocapr[e],Isocaproate,115.15034,6,0,,,,,EX_isocapr(e)
isoval[e],"Isovalerate, 3-Methylbutanoate",101.12376,5,0,,,C08262,,EX_isoval(e)
no2[e],Nitrite,46.0055,0,1,HMDB02786,"InChI=1S/HNO2/c2-1-3/h(H,2,3)/p-1",C00088,24529,EX_no2(e)
pecticgal[e],"Pectic galactan (potato), gal: arab-L: rmn: galur = 78: 9: 4: 9 (www.megazyme.com). Assumed to consist of 100 sugars per macromo... <Preview truncated at 128 characters>",16196.795839999999,597,0,,,,,EX_pecticgal(e)
raffin[e],Raffinose,504.43708,18,0,,,,,EX_raffin(e)
rhamnogalurI[e],"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)",162559.74367999999,5840,0,,,,,EX_rhamnogalurI(e)
rib_D[e],D-ribose,150.1299,5,0,HMDB00283,,C00121,5779,EX_rib_D(e)
rmn[e],L-Rhamnose,164.15648,6,0,,,,,EX_rmn(e)
xan[e],Xanthine,152.11086,5,4,HMDB00292,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)",C00385,1188,EX_xan(e)
Tyr_ggn[e],Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis),,0,0,,,,,EX_Tyr_ggn(e)
amylopect900[e],"Amylopectin, 900 repeat units",145944.55528,5400,0,,,C00317,,EX_amylopect900(e)
amylose300[e],"amylose (n=300 repeat units, alpha-1,4-glc)",48660.19528,1800,0,,,,,EX_amylose300(e)
arabinan101[e],"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>",13491.647579999999,509,0,,,C02474,,EX_arabinan101(e)
arabinoxyl[e],"Arabinoxylan, 30 xyl_D, 18 arab_L, 3 gal, 3 glc_D",7332.36064,276,0,,,,,EX_arabinoxyl(e)
bglc[e],beta-glucans,32428138.01528,1200000,0,,,,,EX_bglc(e)
dextran40[e],"Dextran 40, 1,6-alpha-D-Glucan",12971.248000000001,480,0,,,C00372,,EX_dextran40(e)
galmannan[e],"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed",162158.61528,6000,0,,,,,EX_galmannan(e)
gam26s[e],"Glucosamine 2,6-sulfate",337.28164,6,1,,,,,EX_gam26s(e)
glcmannan[e],"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D",69576.33267999999,2574,0,,,,,EX_glcmannan(e)
glygn2[e],"glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})",,66,0,,,,,EX_glygn2(e)
glygn4[e],"glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})",,18,0,,,,,EX_glygn4(e)
glygn5[e],"glycogen, structure 5 (glycogenin-2[1,4-Glc])",,12,0,,,,,EX_glygn5(e)
hspg[e],heparan sulfate proteoglycan,,79,5,,,,,EX_hspg(e)
hspg_degr_1[e],"Product 1 HEPARL1_e, IdoA-GlcN2,6diS-GlcA-GlcN2,3,6triS",1085.83562,24,2,,,,,EX_hspg_degr_1(e)
hspg_degr_10[e],"Product AS3TASE_HS2, GlcN2S-IdoA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)",,43,2,,,,,EX_hspg_degr_10(e)
hspg_degr_11[e],"Product GAM2STASE_HS3, GlcN-IdoA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)",,43,2,,,,,EX_hspg_degr_11(e)
hspg_degr_12[e],"Product GLCNACASE_HS2, GlcA-GlcNAc-IdoA-Gal-Gal-Xyl-L-Ser (protein)",,37,1,,,,,EX_hspg_degr_12(e)
hspg_degr_13[e],"Product GLCAASE_HS, GlcNAc-IdoA-Gal-Gal-Xyl-L-Ser (protein)",,31,1,,,,,EX_hspg_degr_13(e)
hspg_degr_14[e],"Product GLCNACASE_HS3, IdoA-Gal-Gal-Xyl-L-Ser (protein)",,23,0,,,,,EX_hspg_degr_14(e)
hspg_degr_15[e],"Product IDOURASE_HS3, Gal-Gal-Xyl-L-Ser (protein)",,17,0,,,,,EX_hspg_degr_15(e)
hspg_degr_2[e],"Product 2 HEPARL1_e, IdoA2S-GlcN2,6diS-IdoA2S-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)",,49,2,,,,,EX_hspg_degr_2(e)
hspg_degr_3[e],"Product IDOURASE_HS1, GlcN2,6diS-GlcA-GlcN2,3,6triS",910.71944,18,2,,,,,EX_hspg_degr_3(e)
hspg_degr_4[e],"Product AS6TASE_HS1, GlcN2S-GlcA-GlcN2,3diS",752.60892,18,2,,,,,EX_hspg_degr_4(e)
hspg_degr_5[e],"Product AS3TASE_HS1, GlcN2S-GlcA-GlcN2S",673.5536599999999,18,2,,,,,EX_hspg_degr_5(e)
hspg_degr_6[e],"Product GAM2STASE_HS2, GlcN-GlcA-GlcN",515.44314,18,2,,,,,EX_hspg_degr_6(e)
hspg_degr_7[e],"Product IS2TASE_HS1, IdoA-GlcN2,6diS-IdoA-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)",,49,2,,,,,EX_hspg_degr_7(e)
hspg_degr_8[e],"Product IDOURASE_HS2, GlcN2,6diS-IdoA-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)",,43,2,,,,,EX_hspg_degr_8(e)
hspg_degr_9[e],"Product AS6TASE_HS2, GlcN2S-IdoA-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)",,43,2,,,,,EX_hspg_degr_9(e)
hspg_rest[e],"Undegradable product GALASE_HS, Xyl-L-Ser (protein)",,5,0,,,,,EX_hspg_rest(e)
isobut[e],"Isobutyrate, 2-Methylpropanoate",87.09718,4,0,,,C02632,,EX_isobut(e)
levan1000[e],"Levan, 1000 fructose units",162158.61528,6000,0,,,,,EX_levan1000(e)
levanb[e],Levanbiose,342.29648000000003,12,0,,,,,EX_levanb(e)
levanttr[e],Levantriose,504.43708,18,0,,,,,EX_levanttr(e)
levantttr[e],Levantetraose,666.57768,24,0,,,,,EX_levantttr(e)
lichn[e],"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951",27581.91728,1020,0,,,C00478,,EX_lichn(e)
lmn2[e],Laminaribiose,342.29648000000003,12,0,,,,,EX_lmn2(e)
lmn30[e],"laminarin (n=30 repeat units, beta -1,3 glc)",4882.23328,180,0,,,,,EX_lmn30(e)
pullulan1200[e],"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)",194586.73528,7200,0,,,,,EX_pullulan1200(e)
xyluglc[e],"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L",171935.983,6438,0,,,,,EX_xyluglc(e)
2dmmq8[e],2-Demethylmenaquinone 8,703.0896,50,0,,,,,EX_2dmmq8(e)
chor[e],chorismate,224.16692,10,0,,,,,EX_chor(e)
glyclt[e],glycolate,75.04342,2,0,HMDB00115,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)/p-1",C00160,757,EX_glyclt(e)
ncam[e],Nicotinamide,122.12464,6,2,HMDB01406,,C00153,936,EX_ncam(e)
cit[e],Citrate,189.0997,6,0,HMDB00094,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",C00158,311,EX_cit(e)
3dhcdchol[e],3-Dehydrochenodeoxycholate,389.54818,24,0,,,,,EX_3dhcdchol(e)
3dhchol[e],3-Dehydrocholate,405.54758,24,0,,,,,EX_3dhchol(e)
4hpro_LT[e],trans-4-hydroxy-L-proline,131.12986,5,1,HMDB00725,"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1",C01157,5810,EX_4hpro(e)
drib[e],2-deoxy-D-ribose,134.13049999999998,5,0,HMDB03224,"InChI=1S/C5H10O4/c6-2-1-4(8)5(9)3-7/h2,4-5,7-9H,1,3H2/t4-,5+/m0/s1",C01801,22833604,EX_drib(e)
icdchol[e],Isochenodeoxycholate,391.56406,24,0,,,C17660,,EX_icdchol(e)
isochol[e],Isocholate,407.56346,24,0,,,,,EX_isochol(e)
mal_L[e],(S)-malate(2-),132.07156,4,0,HMDB00156,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/m0/s1",C00149,222656,EX_mal_L(e)
pac[e],phenylacetate,135.13998,8,0,HMDB00209,"InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)/p-1",C07086,999,EX_pac(e)
xylan[e],"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D",69774.53464,2640,0,,,,,EX_xylan(e)
4abz[e],4-Aminobenzoate,136.12804,7,1,,,,,EX_4abz(e)
7dhcdchol[e],7-Dehydrochenodeoxycholate,389.54818,24,0,,,,,EX_7dhcdchol(e)
7ocholate[e],"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate",405.54758,24,0,,,C04643,,EX_7ocholate(e)
arab_D[e],D-Arabinose,150.1299,5,0,,,,,EX_arab_D(e)
